domain,count,url,status_code
lynnfieldma.data.socrata.com,4,https://lynnfieldma.data.socrata.com/,200
data.bts.gov,207,https://data.bts.gov/,200
data.edmonton.ca,2205,http://data.edmonton.ca,0
janesville.data.socrata.com,96,http://janesville.data.socrata.com,0
data.grandrapidsmi.gov,695,https://data.grandrapidsmi.gov/,200
opendata.usac.org,34,https://opendata.usac.org/,200
cityofmonroeoh.data.socrata.com,3,http://cityofmonroeoh.data.socrata.com,0
data.cambridgema.gov,297,http://data.cambridgema.gov,0
opendata.fcgov.com,215,http://opendata.fcgov.com,0
data.fultoncountyga.gov,76,https://data.fultoncountyga.gov/,200
nyc-scgc.data.socrata.com,10,https://nyc-scgc.data.socrata.com/,200
humboldtgov.data.socrata.com,18,https://humboldtgov.data.socrata.com/,200
highlandsranch.data.socrata.com,22,https://highlandsranch.data.socrata.com/,200
midashboard.michigan.gov,485,http://midashboard.michigan.gov,0
mercedpd.data.socrata.com,0,https://mercedpd.data.socrata.com/,200
noaa-fisheries-afsc.data.socrata.com,290,https://noaa-fisheries-afsc.data.socrata.com/,200
data.pr.gov,179,https://data.pr.gov/,200
health.data.ny.gov,545,https://health.data.ny.gov/,200
performance.commerce.gov,603,https://performance.commerce.gov/,200
data.melbourne.vic.gov.au,221,https://data.melbourne.vic.gov.au/,200
data.waterpointdata.org,104,https://data.waterpointdata.org/,200
chronicdata.cdc.gov,435,https://chronicdata.cdc.gov/,200
data.pinellas.gov,630,https://data.pinellas.gov/,200
sdc-stories.demo.socrata.com,15,https://sdc-stories.demo.socrata.com/,200
whitebeartownshipmn.data.socrata.com,1,https://whitebeartownshipmn.data.socrata.com/,200
data.somervillema.gov,78,https://data.somervillema.gov/,200
mesa-az.demo.socrata.com,49,https://mesa-az.demo.socrata.com/,200
data.nasa.gov,27864,https://nasa.github.io/data-nasa-gov-frontpage/,200
aces.data.socrata.com,1,https://aces.data.socrata.com/login,200
greensboroperformance.demo.socrata.com,122,https://greensboroperformance.demo.socrata.com/,200
townofaddisontx.data.socrata.com,4,https://townofaddisontx.data.socrata.com/,200
datahub.transportation.gov,3875,https://datahub.transportation.gov/login,200
weslacotx.data.socrata.com,1,https://weslacotx.data.socrata.com/,200
data.hartford.gov,201,https://data.hartford.gov/,200
kcstat.kcmo.org,293,http://kcstat.kcmo.org,0
data.michigan.gov,494,https://data.michigan.gov/,200
data.communityvitalsigns.org,136,https://data.communityvitalsigns.org/,200
alpharetta.data.socrata.com,50,https://alpharetta.data.socrata.com/,200
data.virginia.gov,105,http://data.virginia.gov,0
data.ftb.ca.gov,98,http://data.ftb.ca.gov,0
